id,current_map_index,end_time,score,score_player1,score_player2,restart_count,elapsed_time
1,3,2023-12-09 16:56:06,3530,0,0,3,25.088384
2,1,2023-12-09 16:56:31,4410,0,0,3,20.608437
3,2,2023-12-09 16:56:54,4360,0,0,3,17.876179
4,3,2023-12-09 16:57:35,3790,0,0,3,30.727422
5,1,2023-12-09 16:57:58,3785,0,0,3,19.118642
6,2,2023-12-09 16:58:38,2225,0,0,3,24.743263
7,3,2023-12-09 16:59:13,2850,0,0,3,24.717353
8,1,2023-12-09 16:59:35,3275,0,0,3,18.147888
9,2,2023-12-09 17:00:12,3140,0,0,3,21.804746
10,3,2023-12-09 17:00:52,4095,0,0,3,24.859516
11,1,2023-12-09 17:01:28,3400,0,0,3,20.569155
12,2,2023-12-09 17:02:24,2150,0,0,3,41.579804
13,3,2023-12-09 17:03:06,7655,0,0,3,27.199614
14,1,2023-12-09 17:03:45,2115,0,0,3,23.945362
15,2,2023-12-09 17:04:25,2435,0,0,3,24.38478
16,3,2023-12-09 17:05:07,7790,0,0,3,27.602246
17,1,2023-12-09 17:05:44,4210,0,0,3,21.332451
18,2,2023-12-09 17:06:35,4225,0,0,3,36.568229
19,3,2023-12-09 17:07:27,7810,0,0,3,36.849676
20,1,2023-12-09 17:08:02,4140,0,0,3,19.645489
21,2,2023-12-09 17:09:39,3730,0,0,3,82.223588
22,3,2023-12-09 17:10:26,4085,0,0,3,31.395627
23,1,2023-12-09 17:11:05,5170,0,0,3,24.35903
24,2,2023-12-09 17:12:04,3520,0,0,3,43.477539
25,3,2023-12-09 17:12:47,7740,0,0,3,28.169315
26,1,2023-12-09 17:13:27,4210,0,0,3,25.364411
27,2,2023-12-16 19:51:26,1145,0,0,0,13.810234
